Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
11/28/2015,SAC,W 120-101,30,4,7,3,6,8,8,4,6,0,3,1,1,19,REGULAR SEASON STATS,W,120,101
11/30/2015,UTAH,W 106-103,37,9,20,4,8,4,4,6,5,0,2,2,2,26,REGULAR SEASON STATS,W,106,103
12/2/2015,CHA,W 116-99,31,14,18,8,11,4,4,3,5,0,0,2,5,40,REGULAR SEASON STATS,W,116,99
12/5/2015,TOR,W 112-109,38,14,24,9,15,7,9,2,7,0,0,4,3,44,REGULAR SEASON STATS,W,112,109
12/6/2015,BKN,W 114-98,32,11,17,5,9,1,4,5,2,0,1,2,4,28,REGULAR SEASON STATS,W,114,98
12/8/2015,IND,W 131-123,36,11,23,3,10,4,6,7,10,0,3,1,4,29,REGULAR SEASON STATS,W,131,123
12/11/2015,BOS,W 124-119,47,9,27,6,13,14,14,11,8,0,2,4,8,38,REGULAR SEASON STATS,W,124,119
12/12/2015,MIL,L 95-108,35,10,22,2,9,6,7,7,5,0,1,2,2,28,REGULAR SEASON STATS,L,95,108
12/16/2015,PHX,W 128-103,30,10,14,2,5,3,5,2,7,0,1,4,3,25,REGULAR SEASON STATS,W,128,103
12/18/2015,MIL,W 121-112,39,7,14,2,6,10,11,10,9,0,2,2,6,26,REGULAR SEASON STATS,W,121,112
12/23/2015,UTAH,W 103-85,34,5,14,2,8,4,4,5,9,0,3,2,3,16,REGULAR SEASON STATS,W,103,85
12/25/2015,CLE,W 89-83,37,6,15,1,4,6,6,7,7,0,2,3,3,19,REGULAR SEASON STATS,W,89,83
12/28/2015,SAC,W 122-103,30,7,16,6,13,3,4,14,10,0,2,3,2,23,REGULAR SEASON STATS,W,122,103
12/30/2015,DAL,L 91-114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,91,114
12/31/2015,HOU,W 114-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,114,110
1/2/2016,DEN,W 111-108,14,2,6,1,5,0,0,1,4,0,2,1,2,5,REGULAR SEASON STATS,W,111,108
1/4/2016,CHA,W 111-101,32,12,21,5,10,1,1,3,4,0,2,4,2,30,REGULAR SEASON STATS,W,111,101
